GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pos-app,com.increff.pos.dao,AbstractDao,19,0,0,0,4,0,4,0,4,0
pos-app,com.increff.pos.dao,ProductDao,89,0,0,0,23,0,8,0,8,0
pos-app,com.increff.pos.dao,InvoiceDao,54,0,0,0,14,0,6,0,6,0
pos-app,com.increff.pos.dao,SchedulerDao,36,0,0,0,10,0,5,0,5,0
pos-app,com.increff.pos.dao,BrandDao,106,0,0,0,26,0,9,0,9,0
pos-app,com.increff.pos.dao,InventoryDao,52,0,0,0,14,0,6,0,6,0
pos-app,com.increff.pos.dao,UserDao,71,0,0,0,19,0,8,0,8,0
pos-app,com.increff.pos.dao,OrderItemDao,89,0,0,0,22,0,8,0,8,0
pos-app,com.increff.pos.dao,OrderDao,55,0,0,0,15,0,6,0,6,0
pos-app,com.increff.pos.dto,BrandDto,150,0,10,0,41,0,15,0,10,0
pos-app,com.increff.pos.dto,ProductDto,247,0,18,0,63,0,19,0,10,0
pos-app,com.increff.pos.dto,SchedulerDto,140,0,4,0,33,0,6,0,4,0
pos-app,com.increff.pos.dto,OrderDto,572,0,20,0,124,0,25,0,15,0
pos-app,com.increff.pos.dto,InventoryDto,132,0,6,0,34,0,13,0,10,0
pos-app,com.increff.pos.dto,SalesDto,19,0,2,0,4,0,3,0,2,0
pos-app,com.increff.pos.service,OrderItemService,103,0,4,0,24,0,10,0,8,0
pos-app,com.increff.pos.service,ApiException,4,0,0,0,2,0,1,0,1,0
pos-app,com.increff.pos.service,SchedulerService,33,0,2,0,9,0,4,0,3,0
pos-app,com.increff.pos.service,SalesService,9,0,0,0,3,0,2,0,2,0
pos-app,com.increff.pos.service,BrandService,92,0,8,0,25,0,13,0,9,0
pos-app,com.increff.pos.service,ProductService,107,0,6,0,29,0,14,0,11,0
pos-app,com.increff.pos.service,InventoryService,95,0,4,0,23,0,11,0,9,0
pos-app,com.increff.pos.service,UserService,51,0,2,0,14,0,7,0,6,0
pos-app,com.increff.pos.service,InvoiceService,54,0,6,0,14,0,9,0,6,0
pos-app,com.increff.pos.service,AboutAppService,9,0,0,0,3,0,3,0,3,0
pos-app,com.increff.pos.service,OrderService,191,0,12,0,46,0,17,0,11,0
pos-app,com.increff.pos.model,OrderItemData,31,0,0,0,6,0,9,0,9,0
pos-app,com.increff.pos.model,EmployeeData,10,0,0,0,4,0,3,0,3,0
pos-app,com.increff.pos.model,SchedulerData,31,0,0,0,6,0,9,0,9,0
pos-app,com.increff.pos.model,MessageData,10,0,0,0,4,0,3,0,3,0
pos-app,com.increff.pos.model,InventoryData,10,0,0,0,3,0,3,0,3,0
pos-app,com.increff.pos.model,EmployeeForm,17,0,0,0,7,0,5,0,5,0
pos-app,com.increff.pos.model,InfoData,23,0,0,0,10,0,5,0,5,0
pos-app,com.increff.pos.model,InvoiceResponse,10,0,0,0,3,0,3,0,3,0
pos-app,com.increff.pos.model,InventoryForm,17,0,0,0,4,0,5,0,5,0
pos-app,com.increff.pos.model,ProductForm,38,0,0,0,7,0,11,0,11,0
pos-app,com.increff.pos.model,ProductData,10,0,0,0,3,0,3,0,3,0
pos-app,com.increff.pos.model,SalesForm,31,0,0,0,6,0,9,0,9,0
pos-app,com.increff.pos.model,AboutAppData,17,0,0,0,7,0,5,0,5,0
pos-app,com.increff.pos.model,OrderData,31,0,0,0,6,0,9,0,9,0
pos-app,com.increff.pos.model,BrandForm,17,0,0,0,4,0,5,0,5,0
pos-app,com.increff.pos.model,UserForm,24,0,0,0,10,0,7,0,7,0
pos-app,com.increff.pos.model,OrderItemForm,24,0,0,0,5,0,7,0,7,0
pos-app,com.increff.pos.model,InvoiceForm,38,0,0,0,7,0,11,0,11,0
pos-app,com.increff.pos.model,LoginForm,17,0,0,0,7,0,5,0,5,0
pos-app,com.increff.pos.model,SalesData,31,0,0,0,6,0,9,0,9,0
pos-app,com.increff.pos.model,BrandData,10,0,0,0,3,0,3,0,3,0
pos-app,com.increff.pos.model,UserData,24,0,0,0,10,0,7,0,7,0
pos-app,com.increff.pos.scheduler,Scheduler,7,0,0,0,3,0,2,0,2,0
pos-app,com.increff.pos.controller,SiteUiController,15,0,0,0,4,0,4,0,4,0
pos-app,com.increff.pos.controller,SampleController,46,0,0,0,12,0,2,0,2,0
pos-app,com.increff.pos.controller,AppUiController,31,0,0,0,8,0,8,0,8,0
pos-app,com.increff.pos.controller,InitApiController,59,0,2,0,16,0,5,0,4,0
pos-app,com.increff.pos.controller,SchedulerController,7,0,0,0,2,0,2,0,2,0
pos-app,com.increff.pos.controller,AbstractUiController,33,0,2,0,7,0,3,0,2,0
pos-app,com.increff.pos.controller,AppRestControllerAdvice,30,0,0,0,7,0,3,0,3,0
pos-app,com.increff.pos.controller,ProductController,31,0,0,0,9,0,6,0,6,0
pos-app,com.increff.pos.controller,SalesController,8,0,0,0,2,0,2,0,2,0
pos-app,com.increff.pos.controller,AdminApiController,79,0,2,0,22,0,7,0,6,0
pos-app,com.increff.pos.controller,BrandController,31,0,0,0,9,0,6,0,6,0
pos-app,com.increff.pos.controller,OrderController,38,0,0,0,11,0,8,0,8,0
pos-app,com.increff.pos.controller,AboutApiController,19,0,0,0,5,0,2,0,2,0
pos-app,com.increff.pos.controller,LoginController,89,0,6,0,20,0,7,0,4,0
pos-app,com.increff.pos.controller,InventoryController,31,0,0,0,9,0,6,0,6,0
pos-app,com.increff.pos.util,StringUtil,21,0,6,0,3,0,6,0,3,0
pos-app,com.increff.pos.util,IOUtil,11,0,2,0,7,0,3,0,2,0
pos-app,com.increff.pos.util,ProductUtil,16,0,0,0,4,0,2,0,2,0
pos-app,com.increff.pos.util,CookieUtil,36,0,6,0,8,0,5,0,2,0
pos-app,com.increff.pos.util,BrandUtil,16,0,0,0,4,0,2,0,2,0
pos-app,com.increff.pos.util,SecurityUtil,27,0,2,0,9,0,6,0,5,0
pos-app,com.increff.pos.util,UserPrincipal,17,0,0,0,7,0,5,0,5,0
